SLNSWThomas_V11_I02, 9WZRO3aY/9WZM3kqY/1l4dKqe1/data.json,Volume 11 Item 02: William Thomas correspondence, returns etc.,1849,
SLNSWThomas_V11_I01, 9WZRO3aY/9WZM3kqY/YRlZKkqn/data.json,Volume 11 Item 01: William Thomas correspondence, returns etc.,1848,
SLNSWThomas_V16_I02, 9WZRO3aY/9arpw2Xn/9PQ84zXn/data.json,Volume 16 Item 02: William Thomas correspondence, returns etc., October-December 1860,
SLNSWThomas_V16_I01, 9WZRO3aY/9arpw2Xn/nvg82aQ1/data.json,Volume 16 Item 01: William Thomas correspondence, returns etc., January-September 1860,
SLNSWThomas_V01_I02, 9WZRO3aY/9gkdK4e9/1xqZ6maY/data.json,Volume 01 Item 02: William Thomas journal, 2 January - 19 July, 1839 - An abstract of each month.,
SLNSWThomas_V01_I03, 9WZRO3aY/9gkdK4e9/9arpwKEn/data.json,Volume 01 Item 03: William Thomas journal, 4 January 1839 - 25 September, 1840 and associated papers, 1838-1840
SLNSWThomas_V01_I01, 9WZRO3aY/9gkdK4e9/YK5QkNjn/data.json,Volume 01 Item 01: William Thomas journal, January - July, 1839 and associated papers, 1834-1838
SLNSWThomas_V01_I05, 9WZRO3aY/9gkdK4e9/YRlZK0en/data.json,Volume 01 Item 05: William Thomas Outline of Reports as history of services under government of W. Thomas, 1839-1844,,
SLNSWThomas_V01_I04, 9WZRO3aY/9gkdK4e9/nQR2WGA1/data.json,Volume 01 Item 04: William Thomas journal November 1839 - January 1840, with copies of letters to Colonial Secretary,1838,
SLNSWThomas_V08_I02, 9WZRO3aY/Y0KD3qB1/1wN2ZEBn/data.json,Volume 08 item 02: William Thomas letterbook, 1 January-26 August 1840,,
SLNSWThomas_V08_I01, 9WZRO3aY/Y0KD3qB1/9Bv7LZB9/data.json,Volume 08 item 01: William Thomas letterbook, 8 September-4 December 1839,,
SLNSWThomas_V17, 9WZRO3aY/YRlZKGPn/data.json,Volume 17: William Thomas, correspondence, returns etc.,1861
SLNSWThomas_V12_I02, 9WZRO3aY/YezdKNA9/9AL4O2kY/data.json,Volume 12 Item 02: William Thomas, correspondence, returns,1851
SLNSWThomas_V12_I01, 9WZRO3aY/YezdKNA9/YoldKLE9/data.json,Volume 12 Item 01: William Thomas, correspondence, returns,1850
SLNSWThomas_V06, 9WZRO3aY/Yr8RlkXn/data.json,Volume 06: William Thomas reports, 1846-1855,,
SLNSWThomas_V07, 9WZRO3aY/nGm40ZBY/data.json,Volume 07: William Thomas reports, 1856-1862,,
SLNSWThomas_V15_I02, 9WZRO3aY/nX6OK5QY/1LjR5ro9/data.json,Volume 15 Item 02: William Thomas, correspondence, returns etc., July-December 1859
SLNSWThomas_V15_I01, 9WZRO3aY/nX6OK5QY/9O4oVmAn/data.json,Volume 15 Item 01: William Thomas, correspondence, returns etc., January-June 1859
SLNSWThomas_V09_I01, 9WZRO3aY/nmQdKGBn/16AJlydn/data.json,Volume 09 Item 01: William Thomas correspondence, returns etc., 1838-1842,
SLNSWThomas_V09_I02, 9WZRO3aY/nmQdKGBn/9NaA70mY/data.json,Volume 09 Item 02: William Thomas correspondence, returns etc., 1843-1845,
SLNSWThomas_V05_I01, 9WZRO3aY/nvg82QD1/92eV3a0Y/data.json,Volume 05 Item 01: William Thomas journal, 1 January-31 December 1860,,
SLNSWThomas_V05_I10, 9WZRO3aY/nvg82QD1/93QV3yq1/data.json,Volume 05 Item 10: William Thomas journal 1 January-3 April 1867,,,
SLNSWThomas_V05_I02, 9WZRO3aY/nvg82QD1/9O4oV2An/data.json,Volume 05 Item 02: William Thomas journal of a journey to Gippsland , 29 November-23 December 1860,,
SLNSWThomas_V05_I06, 9WZRO3aY/nvg82QD1/9WZM3LzY/data.json,Volume 05 Item 06: William Thomas journal 1 January-31 December 1863,,,
SLNSWThomas_V05_I09, 9WZRO3aY/nvg82QD1/YK5QkP6n/data.json,Volume 05 Item 09: William Thomas journal 1 January-31 December 1866,,,
SLNSWThomas_V05_I08, 9WZRO3aY/nvg82QD1/YdmdKV49/data.json,Volume 05 Item 08: William Thomas journal 1 January-31 December 1865,,,
SLNSWThomas_V05_I07, 9WZRO3aY/nvg82QD1/YezdK429/data.json,Volume 05 Item 07: William Thomas journal 1 January-31 December 1864,,,
SLNSWThomas_V05_I04, 9WZRO3aY/nvg82QD1/Yj7dK339/data.json,Volume 05 Item 04: William Thomas journal 1 January-31 December 1861,,,
SLNSWThomas_V05_I05, 9WZRO3aY/nvg82QD1/nV2qKO7n/data.json,Volume 05 Item 05: William Thomas journal 1 January-31 December 1862,,,
SLNSWThomas_V05_I03, 9WZRO3aY/nvg82QD1/nmQdKJVn/data.json,Volume 05 Item 03: William Thomas depositions in criminal cases,1860,,
SLNSWThomas_V21_I17, 9WZRO3aY/nvg82rp1/16AJl3dn/data.json,Volume 21 Item 17: William Thomas 'Language Murry Tribe from Kulkyne Bobby & Young Man Tommy,1860, Trial etc. 1868',
SLNSWThomas_V21_I07, 9WZRO3aY/nvg82rp1/1DrmP659/data.json,Volume 21 Item 07: William Thomas 'On the Aborigines of Australia',1858,,
SLNSWThomas_V21_I05, 9WZRO3aY/nvg82rp1/1JkmEL7Y/data.json,Volume 21 Item 05: William Thomas 'Brief Sketch [of] the Aboriginal Language of Port Phillip',1858,,
SLNSWThomas_V21_I10, 9WZRO3aY/nvg82rp1/1bGdpDxY/data.json,Volume 21 Item 10: William Thomas 'Wimmera Tribe' word lists,1859,,
SLNSWThomas_V21_I12, 9WZRO3aY/nvg82rp1/1l4dKge1/data.json,Volume 21 Item 12: William Thomas Outline of a Work on Aborigines - scraps from old Colonial papers,1861,,
SLNSWThomas_V21_I16, 9WZRO3aY/nvg82rp1/92eV3W0Y/data.json,Volume 21 Item 16: William Thomas 'Language according to different tribes including Sydney side of the Murray', 1862-1863,,
SLNSWThomas_V21_I03, 9WZRO3aY/nvg82rp1/93QV3eq1/data.json,Volume 21 Item 03: William Thomas Aboriginal song 'Gaiggip' and memorandum,1850,1857,
SLNSWThomas_V21_I14, 9WZRO3aY/nvg82rp1/9AL4O8kY/data.json,Volume 21 Item 14: William Thomas correspondence,1862,,
SLNSWThomas_V21_I04, 9WZRO3aY/nvg82rp1/9Bv7L2B9/data.json,Volume 21 Item 04: William Thomas customs of the Aborigines,1858,,
SLNSWThomas_V21_I01, 9WZRO3aY/nvg82rp1/9WZM34zY/data.json,Volume 21 Item 01: William Thomas Aboriginal words and phrases,1838,,
SLNSWThomas_V21_I09, 9WZRO3aY/nvg82rp1/9yM6gED9/data.json,Volume 21 Item 09: William Thomas 'Tarra Bobby & Billy Logan, Gippsland',1858,
SLNSWThomas_V21_I02, 9WZRO3aY/nvg82rp1/YK5Qkv6n/data.json,Volume 21 Item 02: William Thomas 'Koort Kurrup, Yanem Goona, Warragle Jemmy' language and dialects, 1845- 1847
SLNSWThomas_V21_I13, 9WZRO3aY/nvg82rp1/YRlZKEqn/data.json,Volume 21 Item 13: William Thomas 'Language of the Wonnon or Glenelg tribe',1862,,
SLNSWThomas_V21_I15, 9WZRO3aY/nvg82rp1/YoldKME9/data.json,Volume 21 Item 15: William Thomas Aboriginal weapons and implements,1863,,
SLNSWThomas_V21_I11, 9WZRO3aY/nvg82rp1/nQR2WzZ1/data.json,Volume 21 Item 11: William Thomas notes relating to Wonga,1861,,
SLNSWThomas_V21_I06, 9WZRO3aY/nvg82rp1/nX6OK4rY/data.json,Volume 21 Item 06: William Thomas 'Sacred Dances',1858,,
